name,sub_cpo_id,external_id
E.ON Drive Germany,DE*UFC,DE*EDR
E.ON Drive Infrastructure GmbH,DE*ICT,DE*ICT
E.ON Energie Romania S.A.,RO*EON,RO*EON
"E.ON Energie, a.s.",CZ*EON,CZ*EON
Easy Volt Brasil,BR*EZV,BR*EZV
eCarUp AG,CH*ECU,CH*ECU
EDEKA,DE*384,DE*384
"EDP Clientes, S.A.",ES*EDP,ES*EDP
ELM?-ÉMÁSZ Solutions Kft.,HU*ELM,HU*ELM
EMOBITALY,IT*EMO,IT*EMO
EnBW mobility+ AG & Co. KG,DE*EBW,DE*EBW
Endesa CPO 2,ES*CIR,ES*ECV
Endesa CPO 2,ES*ECV,ES*ECV
Enel X Way Italia,IT*EEN,IT*EIO
Enel X Way Italia,IT*ENE,IT*EIO
Enel X Way Italia,IT*ENX,IT*EIO
Enel X Way Italia,IT*EVD,IT*EIO
Enel X Way Italia,IT*EVO,IT*EIO
Enel X Way Italia,IT*EVS,IT*EIO
Enel X Way Italia,IT*PTO,IT*EIO
Enel X Way Italia,IT*Q8I,IT*EIO
Enel X Way Italia,IT*SCP,IT*EIO
Enel X Way Italia,IT*ELX,IT*ELX
enercity AG,DE*EAD,DE*ENC
enercity AG,DE*ENC,DE*ENC
enercity AG,DE*MEW,DE*ENC
enercity AG,DE*VIG,DE*ENC
Energie AG OÖ Vertrieb GmbH,AT*ENA,AT*ENA
Energie Burgenland_BEÖ,AT*EBM,AT*EBM
Energie Steiermark Kunden GmbH,AT*EGG,AT*EST
Energie Steiermark Kunden GmbH,AT*EST,AT*EST
Enerhub Srl,IT*ENH,IT*ENH
ENIO GmbH,AT*430,AT*430
ENIO GmbH,AT*STQ,AT*430
ENIO GmbH,DE*ETS,AT*430
Eniwa,CH*IBA,CH*IBA
EVN (CPO) EVN Energievertrieb GmbH & Co KG,AT*EVN,AT*EVN
EWE Go GmbH,DE*WAY,DE*WAY
EWE Go GmbH,DE*EWE,DE*WAY
Fines Charging,BG*FCH,BG*FCH
Floading Energy Infra B.V.,NL*FLD,NL*FLD
Franklin Energy,GB*FRA,GB*FRA
Freshmile Services,FR*FR1,FR*FR1
Freshmile Services,FR*S03,FR*FR1
Freshmile Services,FR*S31,FR*FR1
Freshmile Services,FR*S32,FR*FR1
Freshmile Services,FR*S60,FR*FR1
Freshmile Services,FR*S82,FR*FR1
GiC - Gestion Inteligente de Cargas,ESGIC*,ESGIC
Green Motion SA,CHEVPE,CHEVP
GreenFlux Assets B.V.,BE*GFX,NL*GFX
GreenFlux Assets B.V.,ES*GFX,NL*GFX
GreenFlux Assets B.V.,FR*GFX,NL*GFX
GreenFlux Assets B.V.,GB*GFX,NL*GFX
GreenFlux Assets B.V.,IT*GFX,NL*GFX
GreenFlux Assets B.V.,NL*GFX,NL*GFX
GreenWay Poland,PL*GWI,PL*GWI
GreenWay Slovakia,SK*GWI,SK*GWI
Grid & Co.,DE*GUC,DE*GUC
