"e.xpand Einkaufspreise
e.xpand purchase price",,"AC (netto, inkl. Verwaltungsgebühr)
(excl. taxes, incl. Administration fee)",,,,"DC (netto, inkl. Verwaltungsgebühr)
(excl. taxes, incl. Administration fee)",,,,"EKP Chargecloud
AC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"EKP Chargecloud
DC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"AMAG Marge
DC (netto, inkl. Verwaltungsgebühr, BKW Zürich)",,,,"Verkaufspreis AMAG 
AC, inkl. CH MWSt.",,,,"Verkaufspreis AMAG
DC, inkl. CH MWSt.",,,,,Off. Wechselkurs,1.0254,01.06.22,
Operator,external ID, Session fee , kwh , min ,Fair Use [min], Session fee , kwh , min ,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],Session fee,kwh,min,Fair Use [min],,BKW Kurs,1.0174,(Bisheriger Wechselkurs; keine Anpassung),
"Fallbackpreis für neue Standorte
Liikennevirta Oy (CPO) -Virta Ltd,FI*001, -   € , 0.504 € , 0.036 € ,120, -   € , 0.638 € , 0.180 € ,30,0.000 CHF,0.513 CHF,0.037 CHF,120,0.000 CHF,0.650 CHF,0.183 CHF,30,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.610 CHF,0.040 CHF,120,1.500 CHF,0.760 CHF,0.200 CHF,30,,,,,
MAINGAU Energie GmbH ,DE*MEG, -   € , 0.360 € , -   € ,0, -   € , 0.360 € , -   € ,0,0.000 CHF,0.366 CHF,0.000 CHF,0,0.000 CHF,0.366 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.450 CHF,0.000 CHF,0,1.500 CHF,0.450 CHF,0.000 CHF,0,,,,,
MOVE Mobility AG (CCI),CH*CCI, -   € , 0.660 € , -   € ,0, -   € , 0.672 € , 0.161 € ,0,0.000 CHF,0.671 CHF,0.000 CHF,0,0.000 CHF,0.684 CHF,0.164 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.780 CHF,0.000 CHF,0,1.500 CHF,0.800 CHF,0.180 CHF,0,,,,,
Osprey (Engenie Ltd ),GB*OSP, -   € , 0.587 € , -   € ,0, -   € , 0.587 € , -   € ,0,0.000 CHF,0.597 CHF,0.000 CHF,0,0.000 CHF,0.597 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.700 CHF,0.000 CHF,0,1.500 CHF,0.700 CHF,0.000 CHF,0,,,,,
"Pražská energetika, a.s.",CZ*PRE, -   € , 0.384 € , 0.072 € ,120, -   € , 0.540 € , 0.180 € ,45,0.000 CHF,0.391 CHF,0.073 CHF,120,0.000 CHF,0.549 CHF,0.183 CHF,45,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.480 CHF,0.080 CHF,120,1.500 CHF,0.650 CHF,0.200 CHF,45,,,,,
Q1 Energie AG,DE*Q1E, -   € , 0.494 € , -   € ,0, -   € , 0.604 € , -   € ,0,0.000 CHF,0.503 CHF,0.000 CHF,0,0.000 CHF,0.614 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.600 CHF,0.000 CHF,0,1.500 CHF,0.720 CHF,0.000 CHF,0,,,,,
Qwello GmbH,DE*QWC, -   € , 0.450 € , 0.020 € ,0, -   € , 0.450 € , 0.020 € ,0,0.000 CHF,0.458 CHF,0.021 CHF,0,0.000 CHF,0.458 CHF,0.021 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.550 CHF,0.030 CHF,0,1.500 CHF,0.550 CHF,0.030 CHF,0,,,,,
reev by emonvia GmbH,DE*ONE, -   € , 0.456 € , -   € ,0, -   € , 0.456 € , -   € ,0,0.000 CHF,0.464 CHF,0.000 CHF,0,0.000 CHF,0.464 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.560 CHF,0.000 CHF,0,1.500 CHF,0.560 CHF,0.000 CHF,0,,,,,
Renovatio Asset Management,RO*RNV, -   € , 0.480 € , -   € ,0, -   € , 0.600 € , -   € ,0,0.000 CHF,0.488 CHF,0.000 CHF,0,0.000 CHF,0.610 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,1.500 CHF,0.580 CHF,0.000 CHF,0,1.500 CHF,0.720 CHF,0.000 CHF,0,,,,,
Repower AG,CH*REP, 1.764 € , 0.728 € , -   € ,0, 1.764 € , 0.763 € , -   € ,0,1.795 CHF,0.741 CHF,0.000 CHF,0,1.795 CHF,0.776 CHF,0.000 CHF,0,1.393 CHF,0.050 CHF,0.000 CHF,CHF 0.00,3.500 CHF,0.860 CHF,0.000 CHF,0,3.500 CHF,0.900 CHF,0.000 CHF,0,,,,,
